answer;question
o;秋天是北京一年中最美好的季节。
o;他是一位有着 30 多年教龄的老教师。
o;做一件事情，只要开始行动，就算获得了一半的成功。
x;婺源是属于南宋著名学者朱熹的故里和中国铁路之父詹天佑的家乡。
x;天凉了，你要穿多点儿衣服。
o;老师的鼓励，使他信心大增。
o;昨天睡得很晚，所以第二天 9 点多我才醒来。
o;为防止在野外活动中迷路，你必须掌握定位和测向方法。
o;在家人的照顾下，他很快恢复了健康。
o;保持好的心情，关键是要有一个好的心态。
o;商业广告显然不同于公益广告，因为它带有明显的功利色彩。
x;为了防止今后不再发生类似的事件，有关部门及时完善了管理措施。
o;权力没有制约，必然会产生腐败。
o;不是每一次努力都会有收获，但是每一次收获都需要努力。
x;两个人在一起，遇到事至少可以商量商量一下，总比一个人好。
o;我是电影评论专业的一名研究生，去年一年我一共看了206部电影。
o;东西方在饮食习惯上存在着较大的差异。
x;18 世纪以后，世界人口的增长速度才加快明显起来。
o;经过几次搬迁之后，我们一家人终于在南京定居下来了。
o;一个十几岁的孩子能写出这样的文章来，简直令人难以相信。
x;有些电脑设计得很小巧，甚至可以放一个很薄的文件袋里。
o;快乐有助于长寿，有助于增加食欲，有助于提高工作效率。
o;草原上的天气变幻莫测，刚刚还是晴空万里，转眼间便乌云密布了。
o;重新认识农业，开拓农业新的领域，已成为当今世界农业发展的新趋势。
o;时间能抚平心灵的伤痛，因此人们常说时间是最好的医生。
o;能够了解社会各阶层的人物，对一个作家来说是极好的机会。
x;人们居住在地球上，是一块天然的大磁体，在南北两极有两个磁极。
o;生活就像一场旅行，不在乎目的地，而在乎沿途的风景和看风景的心情。
o;大约在公元 11 世纪宋朝的时候，人们开始玩一种叫做“蹴鞠”的游戏，它很像现代的足球。
o;骆驼最耐旱，它喝一次水后，可以几天几夜不喝水，行走如常，人们称之为“沙漠之舟”。
x;父亲经常说，美术教育的目的，是学生对每一种平凡的事物，都能有美的感触，都能欣赏到美。
o;金子可能就埋在你的脚下，就在离你不远处闪烁着诱人的光芒，关键在于，你有没有善于发现金子的眼光。
o;人人都需要关爱，关爱能增近两个人的感情，拉近两个人的距离。但是，这种关爱的前提是适度。
o;人们在财务困境中挣扎的一个原因是：他们在学校里学习多年，却没有学到任何关于金钱方面的知识。
o;1940 年 11 月 27 日出生的李小龙，虽然不是最早进入好莱坞的华人，却是最早成为国际巨星的功夫演员。
x;作为一名翻译工作者，一方面要努力学好外语，一方面要学好本民族语言也是非常重要的，两者缺一不可。
o;人应该善待自己，善待自己的最好方法是善待别人，善待别人的最好方法是宽容别人。
